month,region,covid_deaths_2020,avg_deaths,noncovid_deaths_2020,tot_deaths_2015,tot_deaths_2016,tot_deaths_2017,tot_deaths_2018,tot_deaths_2019,tot_deaths_2020
8,Emilia-Romagna,174.0,4016.6,3940.0,4055,3955,4051,4101,3921,4114
8,Lazio,15.0,4729.4,4782.0,4693,4747,5187,4559,4461,4797
8,Liguria,4.0,1796.8,1774.0,1810,1694,1743,2052,1685,1778
8,Lombardia,59.0,7764.6,7875.0,7784,7370,7745,8195,7729,7934
8,Marche,0.0,1451.8,1551.0,1302,1374,1759,1388,1436,1551
8,Molise,0.0,319.8,314.0,301,274,410,285,329,314
8,Piemonte,17.0,4194.2,4301.0,4151,3942,4350,4512,4016,4318
8,Puglia,4.0,3238.2,3495.0,3308,2968,3683,3141,3091,3499
8,Sardegna,0.0,1348.8,1452.0,1331,1270,1515,1246,1382,1452
8,Sicilia,3.0,4273.0,4614.0,4370,3944,4895,4012,4144,4617
8,Toscana,7.0,3525.0,3758.0,3561,3250,3742,3703,3369,3765
8,Trentino-Alto Adige,0.0,720.2,771.0,677,733,723,741,727,771
8,Umbria,0.0,819.0,885.0,779,768,975,785,788,885
8,Valle d'Aosta,0.0,107.0,130.0,104,116,107,115,93,130
8,Veneto,46.0,3885.8,4021.0,3910,3814,3846,4089,3770,4067
9,Abruzzo,9.0,1087.2,1029.0,1133,1035,1079,1106,1083,1038
9,Basilicata,1.0,460.2,444.0,450,457,485,442,467,445
9,Calabria,3.0,1449.4,1482.0,1474,1423,1486,1485,1379,1485
9,Campania,18.0,3916.8,3971.0,4053,3888,3959,3871,3813,3989
9,Emilia-Romagna,21.0,3744.2,3902.0,3798,3597,3748,3773,3805,3923
9,Lazio,40.0,4211.6,4369.0,4311,4067,4300,4242,4138,4409
9,Liguria,33.0,1612.2,1750.0,1603,1630,1626,1651,1551,1783
9,Lombardia,90.0,7324.0,7352.0,7181,7149,7382,7579,7329,7442
9,Marche,3.0,1294.8,1287.0,1312,1229,1310,1303,1320,1290
9,Molise,1.0,277.0,283.0,291,283,272,270,269,284
9,Piemonte,18.0,3862.4,3865.0,3902,3722,3886,3991,3811,3883
9,Puglia,39.0,2874.4,3052.0,2951,2712,2873,2944,2892,3091
9,Sardegna,20.0,1195.6,1299.0,1138,1237,1159,1201,1243,1319
9,Sicilia,25.0,3729.4,3818.0,3885,3591,3730,3779,3662,3843
9,Toscana,23.0,3201.2,3438.0,3251,3099,3216,3181,3259,3461
9,Trentino-Alto Adige,1.0,710.4,722.0,684,709,712,700,747,723
9,Umbria,5.0,749.8,774.0,767,772,722,741,747,779
9,Valle d'Aosta,0.0,106.4,103.0,111,101,113,101,106,103
9,Veneto,58.0,3660.8,3804.0,3627,3582,3576,3774,3745,3862
