date,region,deaths
2020-03-06 17:00:00,Abruzzo,0
2020-03-06 17:00:00,Basilicata,0
2020-03-06 17:00:00,Calabria,0
2020-03-06 17:00:00,Campania,0
2020-03-06 17:00:00,Emilia-Romagna,37
2020-03-06 17:00:00,Friuli Venezia Giulia,0
2020-03-06 17:00:00,Lazio,1
2020-03-06 17:00:00,Liguria,3
2020-03-06 17:00:00,Lombardia,135
2020-03-06 17:00:00,Marche,4
2020-03-06 17:00:00,Molise,0
2020-03-06 17:00:00,P.A. Bolzano,0
2020-03-06 17:00:00,P.A. Trento,0
2020-03-06 17:00:00,Piemonte,4
2020-03-06 17:00:00,Puglia,1
2020-03-06 17:00:00,Sardegna,0
2020-03-06 17:00:00,Sicilia,0
2020-03-06 17:00:00,Toscana,0
2020-03-06 17:00:00,Umbria,0
2020-03-06 17:00:00,Valle d'Aosta,0
2020-03-06 17:00:00,Veneto,12
2020-03-07 18:00:00,Abruzzo,0
2020-03-07 18:00:00,Basilicata,0
2020-03-07 18:00:00,Calabria,0
2020-03-07 18:00:00,Campania,0
2020-03-07 18:00:00,Emilia-Romagna,48
2020-03-07 18:00:00,Friuli Venezia Giulia,0
2020-03-07 18:00:00,Lazio,1
2020-03-07 18:00:00,Liguria,4
2020-03-07 18:00:00,Lombardia,154
2020-03-07 18:00:00,Marche,6
2020-03-07 18:00:00,Molise,0
2020-03-07 18:00:00,P.A. Bolzano,0
2020-03-07 18:00:00,P.A. Trento,0
2020-03-07 18:00:00,Piemonte,5
2020-03-07 18:00:00,Puglia,2
2020-03-07 18:00:00,Sardegna,0
2020-03-07 18:00:00,Sicilia,0
2020-03-07 18:00:00,Toscana,0
2020-03-07 18:00:00,Umbria,0
2020-03-07 18:00:00,Valle d'Aosta,0
2020-03-07 18:00:00,Veneto,13
2020-03-08 18:00:00,Abruzzo,0
2020-03-08 18:00:00,Basilicata,0
2020-03-08 18:00:00,Calabria,0
2020-03-08 18:00:00,Campania,0
2020-03-08 18:00:00,Emilia-Romagna,56
2020-03-08 18:00:00,Friuli Venezia Giulia,1
2020-03-08 18:00:00,Lazio,3
2020-03-08 18:00:00,Liguria,6
2020-03-08 18:00:00,Lombardia,267
2020-03-08 18:00:00,Marche,7
2020-03-08 18:00:00,Molise,0
2020-03-08 18:00:00,P.A. Bolzano,0
2020-03-08 18:00:00,P.A. Trento,0
2020-03-08 18:00:00,Piemonte,5
2020-03-08 18:00:00,Puglia,3
2020-03-08 18:00:00,Sardegna,0
2020-03-08 18:00:00,Sicilia,0
2020-03-08 18:00:00,Toscana,0
2020-03-08 18:00:00,Umbria,0
2020-03-08 18:00:00,Valle d'Aosta,0
2020-03-08 18:00:00,Veneto,18
2020-03-09 18:00:00,Abruzzo,0
2020-03-09 18:00:00,Basilicata,0
2020-03-09 18:00:00,Calabria,0
2020-03-09 18:00:00,Campania,0
2020-03-09 18:00:00,Emilia-Romagna,70
2020-03-09 18:00:00,Friuli Venezia Giulia,1
2020-03-09 18:00:00,Lazio,5
2020-03-09 18:00:00,Liguria,7
2020-03-09 18:00:00,Lombardia,333
2020-03-09 18:00:00,Marche,10
2020-03-09 18:00:00,Molise,0
2020-03-09 18:00:00,P.A. Bolzano,0
2020-03-09 18:00:00,P.A. Trento,0
2020-03-09 18:00:00,Piemonte,13
2020-03-09 18:00:00,Puglia,3
2020-03-09 18:00:00,Sardegna,0
2020-03-09 18:00:00,Sicilia,0
2020-03-09 18:00:00,Toscana,1
2020-03-09 18:00:00,Umbria,0
